,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,Major College,Subject College,Withdrew No MT,Dropped no MT,Dropped no Fin,Final Grade Number,Mid Term Grade Number
3987,3987,Registered,ARCH,16841,KC,A,B,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,4.0,3.0
3988,3988,Registered,ARCH,16841,KC,SF,D+,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,0.0,1.3
3989,3989,Registered,ARCH,16841,KC,B-,B,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,2.7,3.0
3990,3990,Registered,ARCH,16841,KC,B+,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.3,3.0
3991,3991,Registered,ARCH,16841,KC,B,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,3.7
3992,3992,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,JR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
3993,3993,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,
3994,3994,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
3995,3995,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
3996,3996,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,
3997,3997,Registered,ARCH,16841,KC,B+,B+,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.3,3.3
3998,3998,Registered,ARCH,16841,KC,A,,ARCH,DMP,Fall 2025,FR,ARCH 16841,CCI,CAED,False,False,False,4.0,
3999,3999,Registered,ARCH,16841,KC,B,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,3.0
4000,4000,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4001,4001,Registered,ARCH,16841,KC,C-,F,ARCH,OTH,Fall 2025,SR,ARCH 16841,Other,CAED,False,False,False,1.7,0.0
4002,4002,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4003,4003,Registered,ARCH,16841,KC,A,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,3.7
4004,4004,Registered,ARCH,16841,KC,B+,B,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,3.3,3.0
4005,4005,Registered,ARCH,16841,KC,B,C-,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,3.0,1.7
4006,4006,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4007,4007,Registered,ARCH,16841,KC,D,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,1.0,4.0
4008,4008,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4009,4009,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4010,4010,Registered,ARCH,16841,KC,A-,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,3.0
4011,4011,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4012,4012,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4013,4013,Registered,ARCH,16841,KC,B-,B-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.7,2.7
4014,4014,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,JR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4015,4015,Registered,ARCH,16841,KC,A,A,ARCH,COMM,Fall 2025,FR,ARCH 16841,CCI,CAED,False,False,False,4.0,4.0
4016,4016,Registered,ARCH,16841,KC,A-,B-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,2.7
4017,4017,Registered,ARCH,16841,KC,C-,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,1.7,3.7
4018,4018,Registered,ARCH,16841,KC,B-,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.7,3.7
4019,4019,Registered,ARCH,16841,KC,B,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,3.7
4020,4020,Registered,ARCH,16841,KC,A-,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.7,3.7
4021,4021,Registered,ARCH,16841,KC,B+,D,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.3,1.0
4022,4022,Registered,ARCH,16841,KC,C,F,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.0,0.0
4023,4023,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4024,4024,Stopped Attending - Failed,ARCH,16841,KC,W,B+,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,0.0,3.3
4025,4025,Registered,ARCH,16841,KC,A,B,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,3.0
4026,4026,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4027,4027,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,
4028,4028,Registered,ARCH,16841,KC,C+,B-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.3,2.7
4029,4029,Registered,ARCH,16841,KC,B,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,4.0
4030,4030,Registered,ARCH,16841,KC,B-,A-,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,2.7,3.7
4031,4031,Registered,ARCH,16841,KC,A-,B+,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,3.3
4032,4032,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4033,4033,Registered,ARCH,16841,KC,C-,C+,ARCH,FM,Fall 2025,JR,ARCH 16841,CotA,CAED,False,False,False,1.7,2.3
4034,4034,Registered,ARCH,16841,KC,B,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,4.0
4035,4035,Registered,ARCH,16841,KC,B,,ARCH,VCD,Fall 2025,JR,ARCH 16841,CCI,CAED,False,False,False,3.0,
4036,4036,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4037,4037,Registered,ARCH,16841,KC,A,A-,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,3.7
4038,4038,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,
4039,4039,Registered,ARCH,16841,KC,C+,B-,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,2.3,2.7
4040,4040,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4041,4041,Registered,ARCH,16841,KC,A,D,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,4.0,1.0
4042,4042,Registered,ARCH,16841,KC,B+,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.3,3.7
4043,4043,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4044,4044,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4045,4045,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4046,4046,Registered,ARCH,16841,KC,A-,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,3.0
4047,4047,Registered,ARCH,16841,KC,A,,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,
4048,4048,Registered,ARCH,16841,KC,C,C,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.0,2.0
4049,4049,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4050,4050,Registered,ARCH,16841,KC,C-,D+,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,1.7,1.3
4051,4051,Registered,ARCH,16841,KC,B,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,
4052,4052,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
4053,4053,Registered,ARCH,16841,KC,B,B-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,2.7
