Course Code,Academic Period,Subject,Subject College,Department,MT C or Higher,"MT C-, D, F, W",MT Not Reported,Total Grades,# of Passing Grades,% of Passing Grades
VCD 28950,202610,VCD,CCI,VCD,29.0,3.0,4.0,36.0,0.8055555555555556,80.56%
ARCH 22860,202580,ARCH,CAED,ARCH,116.0,15.0,13.0,144.0,0.8055555555555556,80.56%
MDJ 28984,202580,MDJ,CCI,MDJ,120.0,17.0,12.0,149.0,0.8053691275167785,80.54%
FDM 12681,202310,FDM,CotA,FDM,120.0,17.0,12.0,149.0,0.8053691275167785,80.54%
VCD 28950,202310,VCD,CCI,VCD,62.0,6.0,9.0,77.0,0.8051948051948052,80.52%
VCD 25988,202610,VCD,CCI,VCD,37.0,7.0,2.0,46.0,0.8043478260869565,80.43%
THEA 22559,202480,THEA,CotA,THDN,41.0,4.0,6.0,51.0,0.803921568627451,80.39%
THEA 22559,202310,THEA,CotA,THDN,41.0,6.0,4.0,51.0,0.803921568627451,80.39%
MDJ 15027,202380,MDJ,CCI,MDJ,500.0,58.0,64.0,622.0,0.8038585209003215,80.39%
VCD 24327,202310,VCD,CCI,VCD,86.0,9.0,12.0,107.0,0.8037383177570093,80.37%
COMM 17591,202610,COMM,CCI,COMM,532.0,63.0,67.0,662.0,0.8036253776435045,80.36%
EMAT 26013,202480,EMAT,CCI,EMAT,45.0,9.0,2.0,56.0,0.8035714285714286,80.36%
FDM 29003,202410,FDM,CotA,FDM,143.0,16.0,19.0,178.0,0.8033707865168539,80.34%
ARTS 28507,202610,ARTS,CotA,ART,49.0,7.0,5.0,61.0,0.8032786885245902,80.33%
MDJ 25946,202510,MDJ,CCI,MDJ,49.0,6.0,6.0,61.0,0.8032786885245902,80.33%
ARTH 12842,202410,ARTH,CotA,ART,196.0,21.0,27.0,244.0,0.8032786885245902,80.33%
ARTS 28507,202310,ARTS,CotA,ART,57.0,6.0,8.0,71.0,0.8028169014084507,80.28%
VCD 25988,202480,VCD,CCI,VCD,57.0,10.0,4.0,71.0,0.8028169014084507,80.28%
MDJ 28950,202380,MDJ,CCI,MDJ,61.0,7.0,8.0,76.0,0.8026315789473685,80.26%
MDJ 13358,202410,MDJ,CCI,MDJ,73.0,11.0,7.0,91.0,0.8021978021978022,80.22%
COMM 17591,202380,COMM,CCI,COMM,981.0,120.0,122.0,1223.0,0.8021259198691741,80.21%
COMM 17591,202580,COMM,CCI,COMM,1118.0,141.0,135.0,1394.0,0.8020086083213773,80.20%
ARCH 16841,202610,ARCH,CAED,ARCH,279.0,43.0,26.0,348.0,0.8017241379310345,80.17%
ARCH 15217,202310,ARCH,CAED,ARCH,109.0,12.0,15.0,136.0,0.8014705882352942,80.15%
MDJ 15027,202610,MDJ,CCI,MDJ,327.0,40.0,41.0,408.0,0.8014705882352942,80.15%
ARTH 12842,202310,ARTH,CotA,ART,218.0,31.0,23.0,272.0,0.8014705882352942,80.15%
FDM 14111,202610,FDM,CotA,FDM,125.0,21.0,10.0,156.0,0.8012820512820513,80.13%
FDM 25693,202480,FDM,CotA,FDM,133.0,18.0,15.0,166.0,0.8012048192771084,80.12%
FDM 24923,202380,FDM,CotA,FDM,165.0,20.0,21.0,206.0,0.8009708737864077,80.10%
ARCH 16841,202480,ARCH,CAED,ARCH,469.0,65.0,52.0,586.0,0.8003412969283277,80.03%
